date,sro,type,title,summary,url
2020-10-22,RBI,framework,"Framework for recognition of Self-Regulatory Organisation for Payment System Operators (SRO-PSO)","First SRO framework in payments: Recognised associations of PSOs to set standards, ensure compliance, and address grievances. Enabled payments SROs under Section 43A/43E PSS Act.",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=50609
2024-01-15,RBI,framework,"Draft framework for recognising Self-Regulatory Organisations for the fintech sector (SRO-FT)","RBI's first fintech-specific SRO framework: eligibility, membership openness, governance, oversight of members' compliance and consumer protection.",https://www.rbi.org.in/Scripts/BS_ViewDraftCirculars.aspx?Id=12758
2024-03-21,RBI,framework,"Omnibus framework for recognising self-regulatory organisations in regulated financial entities","Generic framework applicable across RBI-regulated sectors (NBFCs, PSOs, etc.), each sector supervisor to invite/recognise SROs.",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=57538
2024-05-30,RBI,framework,"Final framework for recognising Self-Regulatory Organisations in the fintech sector (SRO-FT)","Final SRO-FT framework: recognised SRO-FTs to monitor fintech compliance with regulations and codes, support innovation, and protect consumers.",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58062
2024-06-19,RBI,announcement,"RBI invites applications for recognition of SROs for NBFCs","RBI press release inviting SRO applications under the omnibus framework from NBFC industry associations.",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58296
2024-08-28,FACE,recognition,"FACE becomes India's first RBI-recognised fintech SRO (SRO-FT)","Fintech Association for Consumer Empowerment recognised as the first SRO-FT, effective from date of issue of certificate of registration.",https://m.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58867
2021-08,FACE,announcement,"FACE applies to RBI for SRO recognition (digital lending)","FACE was among the first industry bodies to apply to RBI for SRO status in digital lending, months after the draft framework chatter began.",https://faceofindia.org/face-applies-to-rbi-to-become-self-regulatory-organisation-for-digital-lending/
2023-09,FACE,partnership,"Google x FACE collaboration against predatory digital lending apps","Partnership to identify and act against predatory lending apps on Android; part of FACE's consumer-protection and app-fraud agenda.",https://faceofindia.org/google-and-face-collaborate-to-uplevel-efforts-against-predatory-lending-apps-in-india/
2024-08-14,FACE,consultation,"FACE response to TRAI consultation on DLT-based transaction scrubbing","FACE filed detailed views (218 pages, 8 annexures) on TRAI's draft 'The Telecommunications (DLT-based Scrubbing) Regulations, 2025', from the digital-lending industry perspective.",https://www.trai.gov.in/sites/default/files/2026-08/FACE_14082025_0.pdf
2026-08,FACE,report,"FACE Personal Loan Report 2026","Consumer-facing study of India's personal loan market: borrower profiles, pricing, top lenders, delinquency and origination trends.",https://faceofindia.org/knowledge/
2025-08,FACE,tool,"DLA Validator — consumer tool for checking digital lending apps","FACE's consumer corner offers a DLA (digital lending application) validator so borrowers can check an app before taking a loan.",https://faceofindia.org/consumer-corner/dla-validator/
2024-09,UFF,announcement,"DLAI among fintech bodies that applied to RBI for SRO-FT status","Three associations applied for SRO-FT recognition after the final framework; Digital Lenders Association of India's application was returned/kept pending.",https://www.moneycontrol.com/news/business/personal-finance/dlai-among-three-applicants-for-rbis-fintech-sro-status-12813794.html
2025-04-16,UFF,announcement,"DLAI rebrands as Unified Fintech Forum (UFF); new leadership elected","DLAI became UFF with ~120 members: Manish Lunia (FlexiLoans) as President, Upasana Taku (MobiKwik) as Vice-President. Sought RBI SRO-FT recognition as a broad fintech body.",https://bfsi.economictimes.indiatimes.com/news/fintech/dlai-rebrands-as-unified-fintech-forum-manish-lunia-upasana-taku-elected-to-key-roles/120346632
2026-09-10,UFF,recognition,"UFF recognised as India's second SRO-FT","RBI granted SRO-FT registration to Unified Fintech Forum (ex-DLAI) ahead of RBI's Global Fintech Fest address; second fintech SRO after FACE.",https://x.com/PratikBhakta_89/status/2098013667807891843
2025-10-03,FIDC,recognition,"FIDC recognised as RBI's SRO for NBFCs","Finance Industry Development Council became the recognised self-regulatory organisation for NBFCs under the omnibus framework.",https://www.business-standard.com/finance/personal-finance/fidc-recognised-as-self-regulatory-organisation-for-nbfcs-125100300599_1.html
2026-06-05,FIDC,consultation,"FIDC views on RBI monetary policy statement (June 2026)","FIDC publicly responded to the June 2026 monetary policy, representing NBFC sector interests on liquidity and rate transmission.",https://www.fidcindia.org.in/2026/06/05/fidc-views-on-the-monetary-policy-statement-of-the-rbi-june-5-2026/
2025-11-11,SRPA,recognition,"SRPA becomes RBI-recognised SRO for payment system operators","Self-Regulated PSO Association (SRPA) recognised under the SRO-PSO framework; founded by Vishwas Patel (CCAvenue) and M N Srinivasu (BillDesk); 18 members.",https://www.moneycontrol.com/news/business/srpa-becomes-rbi-recognised-sro-for-payment-system-operators-in-india_13-2573406.html
2026-01,RBI,recognition,"FEDAI recognised as SRO for authorised dealers (FX)","Reserve Bank recognised the Foreign Exchange Dealers' Association of India as an SRO for authorised dealers under the omnibus framework.",https://www.assocham.org/uploads/econtri/297433e bulletin Aug 26-1.pdf
2025-04,UFF,announcement,"UFF executive committee and working-group chairs in place","UFF EC formed: Manish Lunia (President), Upasana Taku (VP & Events Chair), chairs for SRO, Knowledge, Policy/Product/Tech, Events, PR portfolios.",https://unifiedfintech.in/unified-fintech-forum-executive-committee/
